aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
1.65,9.08,0.04,2.85,0.007,0.35,0.83,0.17,0.05,0.2,0,0.054,16.08,1.13,0.007,37.75,6.78,0.08,0.34,0.02,1
2.32,21.16,0.01,3.31,0.002,5.28,0.68,0.66,0.9,0.65,0.65,0.1,2.01,1.93,0.003,32.26,3.21,0.08,0.27,0.05,1
1.01,14.02,0.04,0.58,0.008,4.24,0.53,0.02,0.99,0.05,0.003,0.078,14.16,1.11,0.006,50.28,7.07,0.07,0.44,0.01,0
1.36,11.33,0.04,2.96,0.001,7.23,0.03,1.66,1.08,0.71,0.71,0.016,1.41,1.29,0.004,9.12,1.72,0.02,0.45,0.05,1
0.92,24.33,0.03,0.2,0.006,2.67,0.69,0.57,0.61,0.13,0.001,0.117,6.74,1.11,0.003,16.9,2.41,0.02,0.06,0.02,1
0.94,14.47,0.03,2.88,0.003,0.8,0.43,1.38,0.11,0.67,0.67,0.135,9.75,1.89,0.006,27.17,5.42,0.08,0.19,0.02,1
2.36,5.6,0.01,1.35,0.004,1.28,0.62,1.88,0.33,0.13,0.007,0.021,18.6,1.78,0.007,45.34,2.84,0.1,0.24,0.08,0
3.93,19.87,0.04,0.66,0.001,6.22,0.1,1.86,0.86,0.16,0.005,0.197,13.65,1.81,0.001,53.35,7.24,0.08,0.08,0.07,0
0.6,24.58,0.01,0.71,0.005,3.14,0.77,1.45,0.98,0.35,0.002,0.167,14.66,1.84,0.004,23.43,4.99,0.08,0.25,0.08,1
0.22,16.76,0.02,1.37,0.007,6.4,0.49,0.82,1.24,0.83,0.83,0.109,4.79,1.46,0.01,30.42,0.08,0.03,0.31,0.01,1
3.27,3.6,0.001,2.69,0.005,5.75,0.15,0.6,1.29,0.04,0.008,0.145,8.47,1.25,0.006,55.4,7.8,0.05,0.33,0.06,0
1.35,21.96,0.04,0.84,0.002,0.1,0.76,0.17,0.58,0.52,0.52,0.011,18.4,1.49,0.009,21.52,1.3,0.08,0.48,0.08,1
1.88,19.26,0.02,2.78,0.008,0.05,0.42,1,0.09,0.91,0.91,0.103,4.37,1.95,0.006,22.12,1.97,0.03,0.06,0.05,1
4.93,23.98,0.04,3.05,0.008,0.7,0.51,1.35,1.07,0.7,0.7,0.101,1.16,1.11,0.008,26.8,5.58,0.09,0.38,0.03,1
2.89,18.82,0.05,3.77,0.008,5.99,0.54,0.79,0.54,0.2,0.009,0.126,17.56,1.82,0.009,17.54,4.33,0.1,0.05,0.02,1
0.61,2.41,0.03,0.59,0.002,1.94,0.77,1.54,0.62,0.23,0.001,0.017,1.99,1.08,0.007,11.16,0.98,0.01,0.47,0.03,1
3.47,15.84,0.02,0.06,0.001,5.29,0.47,1.08,1.43,0.89,0.89,0.08,1.91,1.2,0.008,0.18,6.89,0.06,0.12,0.08,1
2.11,17.03,0.02,0.88,0.009,7.78,0.88,1.15,0.34,0.85,0.85,0.065,17.86,1.53,0.003,19.4,1.14,0.1,0.4,0.01,1
4.88,26.94,0.02,0.36,0.001,1.21,0.68,0.71,0.99,0.75,0.75,0.071,0.31,1.22,0.002,56.7,1,0,0.41,0.05,0
4.12,17.99,0.02,3.43,0.006,0.01,0.41,1.82,0.22,0.99,0.99,0.108,8.06,1.76,0.005,24.29,0.88,0.1,0.1,0.07,1
0.68,18.99,0.001,0.04,0.006,4.57,0.2,1.18,1,0.92,0.92,0.086,9.46,1.41,0.007,21.79,3.05,0.03,0.13,0.08,1
1.15,8.12,0.02,0.97,0.007,3.47,0.65,1.51,1.46,0.58,0.58,0.061,8.96,1.5,0.004,14.6,1.74,0.03,0.01,0.06,1
0.27,10.67,0.02,0.55,0.001,3.74,0.12,1.77,0.43,0.8,0.8,0.114,12.69,1.18,0.008,34.64,0.9,0.02,0.16,0.06,1
4.32,20.64,0.03,2.6,0.008,7.24,0.61,1.23,1.44,0.56,0.56,0.012,9.42,1.74,0.004,36.23,3.22,0.07,0.18,0.08,0
2.36,27.05,0.01,0.68,0.003,4.07,0.13,1.34,0.29,0.96,0.96,0.167,15.05,1.92,0.002,56.32,7.99,0.06,0.5,0.06,0
3.31,22.07,0.03,0.46,0.001,7.22,0.73,1.05,1,0.25,0.007,0.109,1.92,1.07,0.001,39.4,0.49,0.04,0.47,0.05,1
1.82,6.81,0.01,0.85,0.006,2.55,0.25,1.09,1.35,0.16,0.002,0.031,16.99,1.7,0.007,44.76,1.15,0.08,0.26,0.08,1
3.42,2.4,0.001,2.8,0.003,2.87,0.73,0.27,0.53,0.44,0.002,0.11,13.73,1.69,0.009,55.27,3.29,0.04,0.17,0,0
4.41,15.14,0.03,1.76,0.007,6.63,0.62,1.57,0.26,0.69,0.69,0.182,1.49,1.81,0.008,24.91,2.39,0.01,0.2,0.05,1
4.57,25.84,0.01,3.04,0.002,2.78,0.72,0.46,1.41,0.08,0.006,0.049,9.64,1.43,0.006,36.57,4.55,0.03,0.19,0,0
1.69,22.8,0.001,2.01,0.002,5.87,0.78,1.53,0.87,0.13,0.008,0.079,8.64,1.19,0.007,24.61,7.77,0.06,0.11,0.05,1
1.87,6.1,0.05,3.74,0.008,2.86,0.52,1.03,0.51,0.77,0.77,0.012,1.11,1.55,0.008,20.32,2.21,0.02,0.48,0.04,1
2.71,26.19,0.04,3.02,0.006,4,0.17,1.56,0.91,0.38,0.005,0.013,11,1,0.006,14.16,6.16,0.05,0.05,0.08,1
1.63,15.75,0.03,2.54,0.008,4.25,0.74,1.35,1.24,0.12,0.006,0.193,17.29,1.27,0.001,58.15,1.71,0.09,0.44,0.05,0
0.01,29.29,0.001,2.93,0.007,7.75,0.68,1.09,0,0.8,0.8,0.091,17.33,1.86,0.001,43.09,3.76,0.09,0.3,0,0
4.49,4.07,0.05,1.87,0.005,4.55,0.32,0.9,0.55,0.3,0.002,0.135,5.23,1.43,0.004,36.52,6.15,0.04,0.16,0.04,1
3.52,23.19,0.03,2.69,0.006,4.94,0.76,1.85,1.24,0.75,0.75,0.124,1.91,1,0.008,24.84,3.19,0.08,0.37,0.06,1
4.35,26.85,0.02,0.88,0.004,0.64,0.61,0.91,0.42,0.44,0.006,0.107,13.24,1.19,0.009,0.73,0.5,0.04,0.35,0,1
2.51,13.08,0.04,1.58,0.002,2.86,0.87,1.88,0.4,0.13,0.004,0.085,11.96,1.35,0.008,46.3,4.7,0.1,0.04,0.05,0
2.34,19.9,0.03,2.67,0.006,4.3,0.26,0.08,0.34,0.26,0.003,0.146,7.96,1.56,0.006,51.39,2.41,0.09,0.12,0.05,0
1.71,9.49,0.05,3.63,0.006,2.24,0.9,0.22,0.68,0.63,0.63,0.162,11.4,1.83,0.005,42.64,6.14,0.09,0.44,0.06,0
3.45,22.32,0.01,0.55,0.004,2.4,0.36,0.29,0.51,0.86,0.86,0.048,1.79,1.68,0.005,43.51,5.45,0.07,0.04,0.07,0
3.37,1.07,0.04,1.86,0.003,2.9,0.84,1.92,1.2,0.32,0.003,0.082,18.91,1.73,0.008,23.6,0.37,0.02,0.46,0.08,1
3.13,28.19,0.001,0.25,0.001,3.58,0.68,1.29,1.04,0.49,0.001,0.079,15.05,1.09,0.005,23.68,3.39,0.01,0.2,0.03,0
0.29,13.74,0.02,0.52,0.007,2.99,0.11,1.14,0.36,0.13,0.008,0.071,18.7,1.25,0.004,39.31,2.18,0.04,0.01,0.02,0
1.51,0.14,0.02,0.06,0.003,5.71,0.88,1.71,1.42,0.27,0.002,0.103,16.16,1.25,0.006,17.24,2.3,0.07,0,0,1
1.09,28.84,0.01,2.16,0.001,1.26,0.85,1.59,1.04,0.08,0.007,0.141,6.48,1.43,0.006,44.66,2.67,0.05,0.35,0.08,0
0.94,10.83,0.01,3.94,0.008,5.38,0.72,0.3,0.52,0.38,0.002,0.131,8.21,1.28,0.005,43.79,4.27,0.06,0.25,0.05,0
2.68,9.02,0.04,3.98,0.002,0.22,0.09,0.54,0.14,0.27,0.004,0.069,8.43,1.84,0.007,21.79,2.91,0.08,0.43,0.09,1
0.3,0.44,0.001,2.5,0.007,6.11,0.35,1.79,0.89,0.67,0.67,0.136,14.27,1.73,0.006,16.99,4.12,0.09,0.42,0.01,1
0.23,23.16,0.001,3.5,0.002,0.68,0.47,0.54,1.33,0.05,0.001,0.166,11.59,1.2,0.006,28.03,0.92,0.07,0.03,0.08,1
2.55,20.81,0.04,2.8,0.004,7.7,0.82,0.44,1.2,0.77,0.77,0.112,10.09,1.34,0.001,11,1.53,0.01,0.27,0.06,1
0.86,18.64,0.04,1.31,0.003,5.47,0.04,1.97,0.59,0.18,0.007,0.169,5.03,1.84,0.004,38.49,7.12,0.07,0.28,0.01,0
4.32,10.15,0.04,1.98,0.001,7.97,0.32,1.98,0.66,0.06,0.008,0.101,7.22,1.69,0.009,5.2,5.63,0.04,0.12,0.01,1
0.24,8.63,0.04,1.07,0.008,6.19,0.49,0.65,0.9,0.58,0.58,0.093,10.16,1.21,0.003,10.21,5.8,0.05,0.24,0.05,1
3.63,3.53,0.03,2.79,0.007,4.08,0.81,1.23,0.75,0.79,0.79,0.025,15.92,1.87,0.002,38.51,7.18,0.07,0.45,0.03,0
3.26,21.24,0.05,3.86,0.008,2.49,0.51,1.06,0.1,0.84,0.84,0.139,15.88,1.25,0.001,55.98,4.87,0.08,0.02,0.07,0
0.42,3.22,0.01,0.65,0.008,0.9,0.83,1.08,0.15,0.23,0.007,0.184,2.67,1.21,0.001,13.9,4.86,0,0.21,0.05,1
0.77,12.4,0.05,3.45,0.006,4.5,0.04,0.14,1.01,0.42,0,0.015,9.11,1.69,0.008,30.41,4.34,0.01,0.35,0,1
0.6,2.21,0.001,3.53,0.002,0.88,0.64,1.26,0.83,0.77,0.77,0.09,11.38,1.68,0.004,31.6,2.75,0.09,0.24,0.08,1
0.58,29.19,0.02,1.71,0.007,1.13,0.53,1.34,0.03,0.98,0.98,0.068,10.9,1.45,0.005,2.75,3.81,0.05,0.18,0.02,1
3.82,13.59,0.01,0.84,0.001,3.85,0.23,1.69,1.47,0.05,0.008,0.123,5.54,1.13,0.009,14.98,6.13,0.03,0.48,0.05,1
2.78,3.14,0.02,0.22,0.009,6.16,0.47,1.75,1.28,0.23,0.008,0.177,16.44,1.24,0.003,40.47,4.91,0.01,0.17,0.08,1
3.62,3.82,0.001,0.58,0.003,7.06,0.45,1.61,0.45,0.24,0.002,0.149,18.77,1.69,0.004,23.25,4.39,0.1,0.33,0.03,1
3.88,21.08,0.01,3.74,0.008,3.43,0.02,0.19,0.52,0.74,0.74,0.062,6.69,1.79,0.004,55.67,6.65,0,0.42,0.02,0
4.64,19.96,0.03,3.02,0.008,4.4,0.89,0.38,0.02,0.76,0.76,0.121,7.47,1.37,0.008,29.55,3.29,0.07,0.26,0.09,1
2.25,12.28,0.02,2.16,0.002,4.89,0.36,0.34,0.14,0.06,0.004,0.086,14.33,1.07,0,34.47,3.75,0.01,0.02,0.06,1
0.54,22.33,0.02,2.27,0.001,6.57,0.89,0.93,0.2,0.51,0.51,0.105,5.88,1.48,0.002,29.48,0.63,0.04,0.43,0.05,1
4.62,8.7,0.04,3.11,0.005,2.15,0.71,0.7,0.32,0.65,0.65,0.168,2.43,1.16,0.003,18.61,1.44,0.09,0.31,0.01,1
2.5,10.59,0.01,0.57,0.004,2.38,0.26,1.55,1.09,0.72,0.72,0.137,13.82,1.45,0.001,33.95,7.4,0.09,0.37,0.03,1
3.08,8.83,0.05,2.24,0.003,4.77,0.03,1.11,0.36,0.27,0.006,0.189,16.25,1.56,0.01,3.77,7.81,0.01,0.21,0.05,1
3.03,13.84,0.01,3.92,0.005,7.81,0.41,1.97,0.61,0.52,0.52,0.095,13.32,1.74,0.005,48.78,2.95,0.01,0.12,0.02,0
2.85,28.55,0.02,1.67,0.007,2.79,0.6,0.42,1.13,0.05,0.004,0.053,12.29,1.37,0.006,55.21,1.29,0.08,0.12,0.04,0
1.38,18.97,0.04,1.47,0.006,1.78,0.03,1.34,0.26,0.07,0.008,0.113,1.51,1.4,0.01,49.53,2.73,0.09,0.11,0.04,0
2.73,19.42,0.02,1.78,0.005,1.97,0.74,0.18,0.13,0.79,0.79,0.132,9.4,1.68,0.006,25.97,6.35,0,0.17,0.06,1
3.02,8.17,0.001,3.76,0.004,3.4,0.29,1.28,0.32,0.53,0.53,0.175,0.8,1.09,0.007,8.33,6.53,0.01,0.32,0.02,1
1.96,16.66,0.001,2.93,0.008,4.41,0.71,1.14,1.14,0.45,0.004,0.045,8.62,1.34,0.01,46.2,7.02,0.02,0.42,0.04,0
2.35,14.14,0.02,2.86,0.009,5.27,0.01,0.71,0.52,0.39,0.007,0.146,7.72,1.57,0.003,27.48,2.92,0.07,0.41,0.01,1
2.45,27.89,0.02,3.25,0.004,3.35,0.77,1.99,0.22,0.25,0.008,0.085,3.29,1.88,0.008,15.08,2.35,0.09,0.09,0.03,1
2.67,18.79,0.02,0.07,0.004,2.69,0.31,1.21,1.21,0.83,0.83,0.105,8.23,1.59,0.003,36.31,6.11,0.04,0.34,0.05,0
1.12,14.79,0.04,3.08,0.007,6.06,0.68,1.3,0.5,0.1,0.008,0.036,2.08,1.69,0.008,54.32,0.86,0.01,0.19,0.02,0
3.3,9.33,0.04,1.28,0.008,7.56,0.22,0.95,0.28,0.53,0.53,0.182,18.6,1.21,0.009,3.26,0.28,0.08,0.08,0.09,1
0.43,28.29,0.01,0.88,0.005,3.55,0.65,0.01,0.43,0.27,0.007,0.033,5.85,1.28,0.001,52.7,5.14,0.01,0.06,0.05,0
1.19,25.95,0.01,0.75,0.008,0.13,0.18,1.44,0.3,0.18,0.004,0.162,2.31,1.36,0.008,38.31,5.41,0.01,0.32,0,1
0.85,10.38,0.05,0.17,0.006,7.52,0.89,0.52,0.32,0.31,0.002,0.11,3.55,1.79,0,6.24,4.15,0.01,0.1,0.02,1
4.64,22.51,0.04,2.97,0.007,6.57,0.41,1.44,0.58,0.96,0.96,0.191,9.99,1.9,0.008,48.08,6.53,0.02,0.21,0.08,0
0.5,9.32,0.03,2.99,0.004,3.57,0.85,1.01,0.68,0.11,0.006,0.127,15.08,1.36,0.006,21.89,2.24,0,0.12,0.01,1
4.75,15.62,0.02,3.18,0.002,1.28,0.52,1.64,0.86,0.64,0.64,0.032,10.07,1.74,0.006,54.15,6.46,0.03,0.35,0.06,0
1.89,15.42,0.05,1.38,0.001,6.02,0.33,0.22,0.01,0.76,0.76,0.052,14.91,1.06,0.009,21.87,4.74,0.01,0.26,0.05,1
3.75,17.69,0.04,1.87,0.006,1.12,0.38,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,5.73,1.08,0.04,0.03,0.01,1
3.32,21.84,0.03,3.45,0.008,6.1,0.23,0.76,1.16,0.79,0.79,0.049,16.88,1.4,0.006,59.03,4.29,0.07,0.08,0,0
1.75,13.74,0.01,1.36,0.001,0.19,0.51,1.5,0.69,0.82,0.82,0.053,1.08,1.24,0.005,8.65,6.98,0.05,0.15,0.07,1
0.94,2.84,0.01,3.54,0.005,1.85,0.15,1.99,1.29,0.86,0.86,0.047,7.52,1.5,0.002,46.24,3.95,0.04,0.14,0.02,1
2.66,22.84,0.01,2.09,0.005,3.32,0.79,1.57,0.66,0.58,0.58,0.071,13.52,1.58,0.008,30.98,3.32,0.05,0.32,0.06,0
2.76,4.15,0.02,2,0.005,4.25,0.19,1.23,0.86,0.87,0.87,0.019,16.16,1.18,0.007,34.48,1.62,0.01,0.21,0.08,1
0.43,13.55,0.03,3.28,0.001,2.38,0.17,0.25,1.25,0.7,0.7,0.129,15.72,1.81,0.003,10.88,5.41,0.03,0.11,0.07,1
2.63,19.11,0.02,1.74,0.007,1.89,0.69,0.87,0.69,0.55,0.55,0.153,5.91,1.31,0.007,39.05,4.15,0.01,0.38,0.08,1
2.85,23.02,0.03,2.24,0.004,0.46,0.02,1.77,0.62,0.14,0.006,0.137,14.86,1.19,0.004,27.85,7.6,0.01,0.45,0.05,0
